문자내용,분류
"[Web발신]
해외 직구 35,000원 결제 승인 안내. 취소 문의 1588-0747",스미싱
"[Web발신]
[신한은행] 대출 심사 결과 안내드립니다. 결과 확인 hxxp://bit.ly/65zg5",스미싱
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://vo.la/h98r,스미싱
"[Web발신]
마이너스통장 신규 대상자입니다. 서류없이 당일 입금 http://kr-8j9w.top",스미싱
"[Web발신]
귀하의 명의로 휴대폰이 개통되었습니다. 신고 ㅁㅁ링크",스미싱
엄마 나 폰 고장나서 컴퓨터로 문자해. 급하게 필요한거 있어서 http://vo.la/gm9j,스미싱
이번 주말에 시간 괜찮아? 얼굴 한번 보자,정상
"[Web발신]
[국민연금공단] 종합소득세 환급금 128,000원이 미수령 상태입니다. 신청 ㅁㅁ링크",스미싱
"[Web발신]
[한진택배] 배송지 미확인 상품 반송 예정입니다. 확인 hxxp://bit.ly/kwwwh",스미싱
[학원] 정대현 학생 오늘 결석했습니다. 확인 부탁드립니다.,정상
"[Web발신]
기업은행 입금 2,480,000원
잔액 2,480,000원
12/19 15:07",정상
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 070-8101-7170",스미싱
"[Web발신]
[건강보험공단] 종합소득세 환급금 12,900원이 미수령 상태입니다. 신청 ㅁㅁ링크",스미싱
"[Web발신]
고객님 포인트 소멸 예정입니다. 무료 전환 신청 http://kr-2vdr.top",스미싱
"[Web발신]
[삼성카드] 해외결제 356,000원 승인. 본인 아닐시 즉시 문의 ㅁㅁ링크",스미싱
"[Web발신]
신한카드 승인 조*주
356,000원 일시불
3/21 13:20
롯데마트 자세히 보기: https://www.naver.com/3db9",정상
"[Web발신]
[관세청] 재택 근무자 지원금 신청 접수중입니다 http://fhsw.duckdns.org",스미싱
[헬스장] 회원권이 10/11에 만료됩니다. 데스크로 문의 주세요. 앱에서 확인: https://www.naver.com/thv4,정상
"[Web발신]
새마을금고 체크카드 승인 356,000원 백화점 09:12 자세히 보기: https://www.naver.com/23fx",정상
"[Web발신]
[쿠팡] 배송지 미확인 상품 반송 예정입니다. 확인 http://8z4h.duckdns.org",스미싱
조은주아 생일 축하해! 좋은 하루 보내 자세히 보기: https://www.naver.com/q78d,정상
"[Web발신]
[로젠택배] 배송지 미확인 상품 반송 예정입니다. 확인 ㅁㅁ링크",스미싱
"[Web발신]
카카오뱅크 체크카드 승인 2,480,000원 G마켓 15:07",정상
